Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
4/1/2017,46,37,0,606
4/2/2017,62.1,41,0,2021
4/3/2017,63,50,0.03,2470
4/4/2017,51.1,46,1.18,723
4/5/2017,63,46,0,2807
4/6/2017,48.9,41,0.73,461
4/7/2017,48,43,0.01,1222
4/8/2017,55.9,39.9,0,1674
4/9/2017,66,45,0,2375
4/10/2017,73.9,55,0,3324
4/11/2017,80.1,62.1,0,3887
4/12/2017,73.9,57.9,0.02,2565
4/13/2017,64,48.9,0,3353
4/14/2017,64.9,48.9,0,2942
4/15/2017,64.9,52,0,2253
4/16/2017,84.9,62.1,0.01,2877
4/17/2017,73.9,64,0.01,3152
4/18/2017,66,50,0,3415
4/19/2017,52,45,0.01,1965
4/20/2017,64.9,50,0.17,1567
4/21/2017,53.1,48,0.29,1426
4/22/2017,55.9,52,0.11,1318
4/23/2017,64.9,46.9,0,2520
4/24/2017,60.1,50,0.01,2544
4/25/2017,54,50,0.91,611
4/26/2017,59,54,0.34,1247
4/27/2017,68,59,0,2959
4/28/2017,82.9,57.9,0,3679
4/29/2017,84,64,0.06,3315
4/30/2017,64,54,0,2225
5/1/2017,72,50,0,3084
5/2/2017,73.9,66.9,0,3423
5/3/2017,64.9,57.9,0,3342
5/4/2017,63,50,0,3019
5/5/2017,59,52,3.02,513
5/6/2017,64.9,57,0.18,1892
5/7/2017,54,48.9,0.01,3539
5/8/2017,57,45,0,2886
5/9/2017,61,48,0,2718
5/10/2017,70,51.1,0,2810
5/11/2017,61,51.8,0,2657
5/12/2017,62.1,51.1,0,2640
5/13/2017,51.1,45,1.31,151
5/14/2017,64.9,46,0.02,1452
5/15/2017,66.9,55.9,0,2685
5/16/2017,78.1,57.9,0,3666
5/17/2017,90,66,0,3535
5/18/2017,91.9,75,0,3190
5/19/2017,90,75.9,0,2952
5/20/2017,64,55.9,0.01,2161
5/21/2017,66.9,55,0,2612
5/22/2017,61,54,0.59,768
5/23/2017,68,57.9,0,3174
5/24/2017,66.9,57,0.04,2969
5/25/2017,57.9,55.9,0.58,488
5/26/2017,73,55.9,0.1,2590
5/27/2017,71.1,61,0,2609
5/28/2017,71.1,59,0,2640
5/29/2017,57.9,55.9,0.13,836
5/30/2017,59,55.9,0.06,2301
5/31/2017,75,57.9,0.03,2689
6/1/2017,78.1,62.1,0,3468
6/2/2017,73.9,60.1,0.01,3271
6/3/2017,72,55,0.01,2589
6/4/2017,68,60.1,0.09,1805
6/5/2017,66.9,60.1,0.02,2171
6/6/2017,55.9,53.1,0.06,1193
6/7/2017,66.9,54,0,3211
6/8/2017,68,59,0,3253
6/9/2017,80.1,59,0,3401
6/10/2017,84,68,0,3066
6/11/2017,90,73,0,2465
6/12/2017,91.9,77,0,2854
